證券代號,投標開始日,撥券日期(上市、上櫃日期),成交量,成交金額,開盤價,最高價,最低價,收盤價,價差,成交筆數,首日收盤溢價率,首日最高溢價率,首日最低溢價率,最低得標加價率,加權平均加價率
8415,2016-08-18,2016-09-07,4923000,88707400,18.0,18.3,18.0,18.1,3.1,1903,0.065,0.076,0.059,0.417,0.417
8438,2022-02-18,2022-03-11,1923426,79340945,41.05,43.5,40.4,40.5,0.0,1387,-0.152,-0.089,-0.154,0.319,0.409
8440,2018-03-08,2018-03-28,3822927,93861483,23.5,26.2,23.5,25.6,9.9,1847,0.125,0.151,0.033,0.642,0.683
8466,2016-10-12,2016-11-01,3684000,503334500,138.0,141.5,131.0,131.5,0.0,2159,0.208,0.299,0.203,0.52,0.578
8473,2016-08-19,2016-09-08,5290907,318078020,60.3,61.2,58.5,60.0,0.0,3059,0.094,0.116,0.067,0.283,0.315
8478,2017-11-21,2017-12-11,3211210,234572087,75.0,77.8,70.5,71.7,0.0,1956,-0.106,-0.03,-0.121,0.141,0.212
8480,2016-12-27,2017-01-17,1285200,144885100,114.5,117.0,108.0,108.5,0.0,933,-0.033,0.043,-0.038,0.339,0.363
8482,2018-07-26,2018-08-15,4736200,548205900,116.0,117.5,114.5,114.5,0.0,2109,-0.016,0.01,-0.016,0.049,0.163
8487,2024-03-11,2024-03-26,347500,26804998,78.0,78.7,75.1,78.4,0.0,219,0.053,0.057,0.009,0.568,0.638
8488,2016-11-23,2016-12-13,2655000,123137700,48.0,48.0,44.2,45.5,0.0,1574,0.002,0.057,-0.027,0.15,0.211
8489,2017-04-07,2017-04-27,1203640,178944080,155.0,155.0,135.0,147.0,62.0,907,0.025,0.081,-0.058,0.978,1.024
8497,2018-03-05,2018-03-23,3010502,153963602,50.0,52.6,48.4,51.0,0.0,2155,0.04,0.072,-0.013,0.19,0.226
8499,2017-11-06,2017-11-24,4293000,572602500,122.0,160.0,122.0,158.0,0.0,2740,0.45,0.468,0.12,0.3,0.362
